Wall time,Step,Value
1536583231.2001603,4762,3472.22998046875
1536583240.244893,4764,2906.989990234375
1536583253.6601477,4767,0.0
1536583294.0237906,4776,852.9299926757812
1536583307.4810014,4779,-639.530029296875
1536583311.9743993,4780,-952.8499755859375
1536583329.876055,4784,-2467.050048828125
1536583343.429169,4787,0.0
1536583347.8895998,4788,1808.699951171875
1536583375.0587606,4794,2950.820068359375
1536583402.4137323,4800,-267.8699951171875
1536583418.7390053,4802,0.0
1536583432.230183,4805,2974.169921875
1536583522.7164683,4825,0.0
1536583531.7941673,4827,-4891.81982421875
1536583590.7088034,4840,1837.4100341796875
1536583651.3536644,4852,2937.080078125
1536583737.0838237,4871,0.0
1536583746.188495,4873,1396.6500244140625
1536583819.1457427,4889,879.1300048828125
1536583832.8007512,4892,2365.969970703125
1536583841.7445884,4894,0.0
1536583846.3069124,4895,1209.68994140625
1536583939.6322908,4914,2128.35009765625
1536584047.9992566,4938,-1469.6400146484375
1536584061.5933268,4941,-697.52001953125
1536584127.6156795,4954,0.0
1536584163.602806,4962,1373.3800048828125
1536584199.8316858,4970,-1062.77001953125
1536584204.4010036,4971,23.950000762939453
1536584218.07799,4974,0.0
1536584227.1027431,4976,2861.06005859375
1536584231.5991364,4977,-4203.58984375
1536584294.9662097,4991,0.0
1536584331.2120721,4999,2038.0999755859375
1536584438.737903,5021,145.39999389648438
1536584465.942026,5027,65.11000061035156
1536584479.707922,5030,2529.5400390625
1536584511.599244,5037,405.07000732421875
1536584571.9144442,5050,-1973.9300537109375
1536584588.8780632,5052,1774.4000244140625
1536584593.522304,5053,-1853.8199462890625
1536584626.8121953,5060,1233.77001953125
1536584715.3394883,5078,2875.340087890625
1536584791.9879532,5094,406.0
1536584834.6002915,5101,665.489990234375
1536584858.6496503,5106,2246.77001953125
1536584863.3997846,5107,1859.9599609375
1536584891.3261714,5113,4726.0400390625
1536584953.810148,5126,3743.860107421875
1536584963.4652553,5128,0.0
1536584991.042998,5134,0.0
1536585115.9100592,5160,-2824.830078125
1536585138.8515513,5165,3558.550048828125
1536585198.2786624,5178,0.0
1536585216.495996,5182,-1435.6700439453125
1536585298.650819,5200,1917.6800537109375
1536585343.3190522,5208,2360.85009765625
1536585448.8119612,5231,867.1300048828125
1536585462.4999373,5234,625.8900146484375
1536585467.0752487,5235,4459.580078125
1536585485.40247,5239,890.7000122070312
1536585489.986773,5240,0.0
1536585508.3159926,5244,-1533.8299560546875
1536585598.8402405,5262,1554.22998046875
1536585617.2034256,5266,1550.1700439453125
1536585722.400638,5289,0.0
1536585789.221173,5302,-107.1500015258789
1536585861.9226816,5318,2073.570068359375
1536585911.9704015,5329,3132.3701171875
1536585984.3592334,5345,-1498.699951171875
1536585998.194056,5348,5252.4501953125
1536586056.5822303,5359,608.280029296875
1536586061.1315691,5360,-1498.22998046875
1536586074.7586076,5363,3190.6201171875
1536586152.1113508,5380,-1480.510009765625
1536586170.603403,5384,2485.27001953125
1536586270.2253282,5404,3658.909912109375
1536586279.3240054,5406,0.0
1536586343.5382116,5420,0.0
1536586366.5935876,5425,1284.43994140625
1536586430.8907092,5439,-416.57000732421875
1536586435.4290586,5440,0.0
1536586444.5886738,5442,484.45001220703125
1536586467.7988918,5447,0.0
1536586604.5897336,5475,-1082.1800537109375
1536586645.7765324,5484,-738.1799926757812
1536586678.1193938,5491,0.0
